Timestamp,Power (kW)
5/17/2010 0:00,194.7
5/17/2010 0:15,193.2
5/17/2010 0:30,188.8
5/17/2010 0:45,191.5
5/17/2010 1:00,187.8
5/17/2010 1:15,201
5/17/2010 1:30,194.7
5/17/2010 1:45,193.8
5/17/2010 2:00,188.7
5/17/2010 2:15,185.5
5/17/2010 2:30,179.5
5/17/2010 2:45,190.3
5/17/2010 3:00,186.3
5/17/2010 3:15,182.1
5/17/2010 3:30,187.5
5/17/2010 3:45,193.5
5/17/2010 4:00,196.4
5/17/2010 4:15,185.9
5/17/2010 4:30,177.8
5/17/2010 4:45,183.3
5/17/2010 5:00,184.3
5/17/2010 5:15,191.5
5/17/2010 5:30,186.8
5/17/2010 5:45,193.8
5/17/2010 6:00,188.6
5/17/2010 6:15,180.8
5/17/2010 6:30,198.8
5/17/2010 6:45,190.1
5/17/2010 7:00,172.6
5/17/2010 7:15,191.6
5/17/2010 7:30,207.2
5/17/2010 7:45,214.1
5/17/2010 8:00,215.4
5/17/2010 8:15,302.8
5/17/2010 8:30,294.2
5/17/2010 8:45,283.8
5/17/2010 9:00,283.8
5/17/2010 9:15,282.1
5/17/2010 9:30,283.3
5/17/2010 9:45,283.1
5/17/2010 10:00,281.5
5/17/2010 10:15,285.9
5/17/2010 10:30,279.7
5/17/2010 10:45,288.8
5/17/2010 11:00,286.6
5/17/2010 11:15,287.4
5/17/2010 11:30,292.1
5/17/2010 11:45,289.2
5/17/2010 12:00,290.3
5/17/2010 12:15,293
5/17/2010 12:30,292.9
5/17/2010 12:45,288.5
5/17/2010 13:00,287.9
5/17/2010 13:15,291.6
5/17/2010 13:30,288.8
5/17/2010 13:45,293.1
5/17/2010 14:00,288.7
5/17/2010 14:15,295.5
5/17/2010 14:30,302.1
5/17/2010 14:45,290.2
5/17/2010 15:00,292
5/17/2010 15:15,293.6
5/17/2010 15:30,286.8
5/17/2010 15:45,294.2
5/17/2010 16:00,286.1
5/17/2010 16:15,293.1
5/17/2010 16:30,287.3
5/17/2010 16:45,295
5/17/2010 17:00,290.9
5/17/2010 17:15,295.9
5/17/2010 17:30,294.6
5/17/2010 17:45,302.1
5/17/2010 18:00,291.9
5/17/2010 18:15,289.2
5/17/2010 18:30,294.3
5/17/2010 18:45,286.4
5/17/2010 19:00,283
5/17/2010 19:15,295.1
5/17/2010 19:30,293.9
5/17/2010 19:45,282.7
5/17/2010 20:00,286.9
5/17/2010 20:15,333.2
5/17/2010 20:30,336.4
5/17/2010 20:45,372.8
5/17/2010 21:00,365.5
5/17/2010 21:15,320
5/17/2010 21:30,318.6
5/17/2010 21:45,324
5/17/2010 22:00,316.2
5/17/2010 22:15,311.4
5/17/2010 22:30,317
